序号,彝文,中文,英文
3255,󳏆,（喷水枪）,（喷水枪）
3256,󳏇,瓜（类）,瓜 (class)
3257,󳏈,（形容词缀）,（形容词缀）
3258,󳏉,很（副词）,很 (副词)
3259,󳏊,闪亮,闪亮
3260,󳏋,伞,伞
3261,󳏌,1、（刺）、（钉）；2、（菠萝）；,"1. (刺) , (钉) ; 2. (菠萝) ; "
3262,󳏍,（娇气）,（娇气）
3263,󳏎,凝结,凝结
3264,󳏏,（人熊）,"（person, people熊）"
3265,󳏐,（导火线）,"（导firethread, line）"
3266,󳏑,1、（广阔）；2、（撮箕）；,1. (广阔) ; 2. (撮箕) ; 
3267,󳏒,催,催
3268,󳏓,高兴,高兴
3269,󳏔,拥挤,crowded
3270,󳏕,1、杉；2、松；3、（松明子）；,"1. 杉; 2. 松; 3, (松明子) ; "
3271,󳏖,凹陷,concave陷
3272,󳏗,燕,燕
3273,󳏘,（出）丑、（丢）脸,"(出) 丑, (丢) 脸"
3274,󳏙,浆（衣服）,浆 (衣服)
3275,󳏚,（犬）吠,(犬) 吠
3276,󳏛,狡猾,狡猾
3277,󳏜,（认真）,"（serious, earnest）"
3278,󳏝,（俄索，人名，后传为彝族支系名、地名，汉文记载为乌撒，今威宁）,"（俄索, person, people名, 后传为彝族支系名, place name, 汉文记载为乌撒, 今威宁）"
3279,󳏞,混合、掺和,"混合, 掺和"
3280,󳏟,（皮）革,(皮) 革
3281,󳏠,暴露,暴露
3282,󳏡,（刺竹）,（刺竹）
3283,󳏢,（花（色）,（花 (color)
3284,󳏣,凑（在一起）,"凑 (在onerise, get up)"
3285,󳏤,（婴儿皮肤褶皱处）发炎,(婴儿皮肤褶皱处) 发炎
3286,󳏥,千,thousand
3287,󳏦,1、歹；2、憨、劣；,"1. 歹; 2. 憨, 劣; "
3288,󳏧,耀（眼）、刺眼,"耀(eye) , 刺eye"
3289,󳏨,1、收（拾）；2、（实勺、古彝人的一个部族名）；,"1. 收(拾) ; 2. (实勺, 古彝person, people的one个部族名) ; "
3290,󳏩,1、（突然（死））；2、松鼠；,1. (突然 (死) ); 2. 松鼠; 
3291,󳏪,揩、擦,"揩, 擦"
3292,󳏫,（祛除、使干净）,"（祛除, 使dry净）"
3293,󳏬,（虽然）,（虽然）
3294,󳏭,（头）屑,(头) 屑
3295,󳏮,（父系血缘相邻两辈间的）关系,(父系血缘相邻两辈间的) 关系
3296,󳏯,（狮子）,（狮子）
3297,󳏰,点（眼药水）,点 (eye药水)
3298,󳏱,1、人（古语）；2、笃慕（人名，彝族”六祖“的父辈）,"1. person, people(ancient saying) ; 2. 笃慕 (person, people名, 彝族”six祖“的父辈)"
3299,󳏲,圆,圆
3300,󳏳,攻打,攻打
3301,󳏴,（灶）,（灶）
3302,󳏵,（哪里）,（哪里）
3303,󳏶,借,借
3304,󳏷,（笑嘻嘻）,（笑嘻嘻）
3305,󳏸,1、开始；2、太初；,"1. drive, operate始; 2. 太初; "
3306,󳏹,炫示,炫示
3307,󳏺,蓄,蓄
3308,󳏻,1、虫；2、蚕；3、（螃蟹）；,"1. 虫; 2. 蚕; 3, (螃蟹) ; "
3309,󳏼,1、经（线）；2、牵（经线）；,"1. 经(thread, line) ; 2. 牵(经thread, line) ; "
3310,󳏽,1、跳；2、动；,1. 跳; 2. 动; 
3311,󳏾,扒,扒
3312,󳏿,孝敬（父母）,孝敬 (父母)
3313,󳐀,捂（甜酒）,"捂 (甜wine, alcohol)"
3314,󳐁,膀,膀
3315,󳐂,渡槽,渡槽
3316,󳐃,1、（身肌）丰满；2、（丝瓜）；,1. (身肌) 丰满; 2. (丝瓜) ; 
3317,󳐄,嘛（语气词）,嘛 (语气词)
3318,󳐅,地,"place, location"
3319,󳐆,摘（菜，俗称讨菜）,"摘 (菜, 俗称讨菜)"
3320,󳐇,纠缠,纠缠
3321,󳐈,1、棚；2、（戳嘎耄（mào），彝族红白喜事场种的事务总管）；,"1. 棚; 2. (戳嘎耄 (mào) , 彝族红白喜事场种的事务总tube, pipe); "
3322,󳐉,封闭严实（多指房间）,"封闭严实 (多point, indicate房间)"
3323,󳐊,抖（掉灰尘）,"抖 (掉ash, gray尘)"
3324,󳐋,（同）情,(同) 情
3325,󳐌,了（时态助词、过去式）,"了 (时态助词, 过去式)"
3326,󳐍,（重叠词缀）,（overlapping词缀）
3327,󳐎,那,那
3328,󳐏,（花）盛开,"(花) 盛drive, operate"
3329,󳐐,麻木,"hemp, numbwood"
3330,󳐑,（麻疹、天花）,"（hemp, numb疹, sky, heaven花）"
3331,󳐒,1、靠拢；2、（跟随）；,"1. lean, depend on拢; 2. (followfollow, accompany) ; "
3332,󳐓,剃,剃
3333,󳐔,弈（弈人（与古濮人同见于彝文古书））,"弈(弈person, people (与古濮person, people同见于彝文古书) )"
3334,󳐕,狐（狸）,狐 (狸)
3335,󳐖,茂（盛）,茂 (盛)
3336,󳐗,（果吉、彝族家支名）,"（果吉, 彝族家支名）"
3337,󳐘,1、猪；2、亥（地支数）；,"1. 猪; 2. 亥(place, location支数) ; "
3338,󳐙,1、楔（xie）子；2、加（楔子）；,1. 楔(xie) 子; 2. 加(楔子) ; 
3339,󳐚,1、直；2、正；,1. 直; 2. 正; 
3340,󳐛,（不会产崽的母畜）,（不会产崽的母畜）
3341,󳐜,（豹、狼等）叫,"(leopard, wolf等) 叫"
3342,󳐝,居住治理,居住治理
3343,󳐞,银子,银子
3344,󳐟,长,长
3345,󳐠,滗（挡住渣滓或泡着的东西，把液体到或舀出来）,"滗 (挡住dregs, residue滓或泡着的东西, 把液体到或舀出来)"
3346,󳐡,（陶瓷）,（陶瓷）
3347,󳐢,1、把（用具量词）；2、张（量词）；3、架；4、支；5、盏；,"1. 把(用具量词) ; 2. 张(量词) ; 3, 架; 4, 支; 5, 盏; "
3348,󳐣,蝶,蝶
3349,󳐤,（形容个子矮小）,（形容个子矮小）
3350,󳐥,护膝（古代打仗时作护腿用品）,护膝 (古代打仗时作护腿用品)
3351,󳐦,寸,寸
3352,󳐧,节、关节,"节, 关节"
3353,󳐨,（神位）,（神位）
3354,󳐩,幢（zhuang）,幢 (zhuang)
3355,󳐪,（奉养）,（奉养）
3356,󳐫,锣,锣
3357,󳐬,折磨,折磨
3358,󳐭,（哪里）,（哪里）
3359,󳐮,有,有
3360,󳐯,划（豆腐）,划 (豆腐)
3361,󳐰,1、盖；2、罩；,1. 盖; 2. 罩; 
3362,󳐱,祖灵,祖灵
3363,󳐲,归附,归附
3364,󳐳,（物品、东西）,"（object, thing品, 东西）"
3365,󳐴,灾难,灾难
3366,󳐵,（昏沉沉）,（昏沉沉）
3367,󳐶,铜,铜
3368,󳐷,百合,hundred合
3369,󳐸,1、（母鸡）叫；2、呃（象声词）；,1. (母鸡) 叫; 2. 呃(onomatopoeia) ; 
3370,󳐹,停止,停止
3371,󳐺,匾,匾
3372,󳐻,供养,供养
3373,󳐼,（快速）旋转,(快速) 旋转
3374,󳐽,生意（古语）,生意 (ancient saying)
3375,󳐾,（小腿肚）,（小腿肚）
3376,󳐿,（螳螂）,（螳螂）
3377,󳑀,1、刁难；2、责难、责备；,"1. 刁难; 2. 责难, 责备; "
3378,󳑁,1、树立、建立；2、举；3、塑（像）；,"1. 树立, 建立; 2. 举; 3, 塑(like, similar) ; "
3379,󳑂,别、莫、勿,"别, 莫, 勿"
3380,󳑃,1、旧；2、古；3、庚（天干第七位）；,"1. 旧; 2. 古; 3, 庚(heavenly stem第seven位) ; "
3381,󳑄,（灰尘）,"（ash, gray尘）"
3382,󳑅,牲畜,livestock
3383,󳑆,盖（名词）,盖 (名词)
3384,󳑇,揉、抟（tuán）、挼（ruó）,"揉, 抟(tuán) , 挼 (ruó)"
3385,󳑈,裙子,裙子
3386,󳑉,风箱,风箱
3387,󳑊,（瓢）,（瓢）
3388,󳑋,哑,哑
3389,󳑌,买,买
3390,󳑍,堆砌,堆砌
3391,󳑎,1、立（起）；2、竖（起）；,"1. 立(rise, get up) ; 2. 竖(rise, get up) ; "
3392,󳑏,（导线架）,"（导thread, line架）"
3393,󳑐,按,按
3394,󳑑,你们,你们
3395,󳑒,1、（花）朵；2、（木禄、彝语指云南弥勒县）；,"1. (花) 朵; 2. (wood禄, 彝语point, indicate云南弥勒县) ; "
3396,󳑓,（腮帮子）,（腮帮子）
3397,󳑔,（摇）摆,(摇) 摆
3398,󳑕,1、漆（名词）；2、漆（动词）；3、(烟屎（积留在旱烟杆里像漆一样的汁））；,"1. 漆(名词) ; 2. 漆(动词) ; 3, (烟屎(积留在旱烟杆里like, similar漆one样的汁) ）; "
3399,󳑖,回、次,"回, 次"
3400,󳑗,（梭子）,（梭子）
3401,󳑘,听到,听到
3402,󳑙,我们,我们
3403,󳑚,1、梳子（名词）；2、梳（动词）；,1. 梳子(名词) ; 2. 梳(动词) ; 
3404,󳑛,犁,犁
3405,󳑜,瓢,瓢
3406,󳑝,含化,含化
3407,󳑞,（枋板）,（枋板）
3408,󳑟,叔叔,叔叔
3409,󳑠,（驮魂马，（旧彝族祭死者，用以表示马“驮”其魂）；,"(驮魂horse, （旧彝族祭死者, 用以表示horse“驮”其魂) ; "
3410,󳑡,1、齐；2、理齐；,1. 齐; 2. 理齐; 
3411,󳑢,呻吟,呻吟
3412,󳑣,们（同志们）,们 (同志们)
3413,󳑤,（侄子，侄儿）,"（侄子, 侄儿）"
3414,󳑥,哄、骗,"哄, 骗"
3415,󳑦,相好,相好
3416,󳑧,扇（量词）,扇 (量词)
3417,󳑨,1、形态、状态；2、状况；,"1. 形态, state, condition; 2. 状况; "
3418,󳑩,胎子（斗笠胎子）,胎子 (斗笠胎子)
3419,󳑪,（解说）,（解说）
3420,󳑫,烟草、香烟,"烟grass, 香烟"
3421,󳑬,（曾祖）,（曾祖）
3422,󳑭,（怪味）,（怪味）
3423,󳑮,（身体）,（身体）
3424,󳑯,娶（妻）,娶 (妻)
3425,󳑰,我们,我们
3426,󳑱,1、观瞻；2、展望；,1. 观瞻; 2. 展望; 
3427,󳑲,（天麻）,"（sky, heavenhemp, numb）"
3428,󳑳,（有气无力、无精打采）,"（有气无力, 无精打采）"
3429,󳑴,切（片）,切 (片)
3430,󳑵,（大仓）,"（big, large仓）"
3431,󳑶,方便,"square, direction便"
3432,󳑷,（水灯芯，一种草的土名）,"（水灯芯, one种grass的土名）"
3433,󳑸,破,破
3434,󳑹,（石头）,（石头）
3435,󳑺,嘶叫,嘶叫
3436,󳑻,（慎重）,（慎重）
3437,󳑼,（身材）矮小,(身材) 矮小
3438,󳑽,（秋千）,（秋thousand）
3439,󳑾,石（dan）（容量）,石(dan)  (容量)
3440,󳑿,（出殡）,（出殡）
3441,󳒀,剔、修剪,"剔, 修剪"
3442,󳒁,1、繁（殖）；2、（额非明宗，人名，汉文古籍记作安胜祖，彝族罗甸水西最后一世君长）；,"1. 繁(殖) ; 2. (额非明宗, person, people名, 汉文古籍记作安胜祖, 彝族罗甸水西最后one世lord, ruler长) ; "
3443,󳒂,次、第二,"次, 第two"
3444,󳒃,（陶瓷、金属等）碎片,"(陶瓷, 金属等) 碎片"
3445,󳒄,燃（烧）,燃 (烧)
3446,󳒅,（设陷阱猎鸟兽）,（设陷阱猎鸟兽）
3447,󳒆,昌（盛）,昌 (盛)
3448,󳒇,勾连,勾连
3449,󳒈,（陶瓷）,（陶瓷）
3450,󳒉,颗（粒）,颗 (粒)
3451,󳒊,消灭（古语）,消灭 (ancient saying)
3452,󳒋,1、增加、增多；2、涨（饭）；,"1. 增加, 增多; 2. 涨(饭) ; "
3453,󳒌,（天花）,"（sky, heaven花）"
3454,󳒍,窝（量词）（一窝豆子）,窝(量词)  (one窝豆子)
3455,󳒎,庙（火神庙）,庙 (fire神庙)
3456,󳒏,（繁殖、繁衍）,"（繁殖, 繁衍）"
3457,󳒐,鲜（花）,鲜 (花)
3458,󳒑,（口袋、挎包）,"（口袋, 挎pack, wrap）"
3459,󳒒,1、（拳头）；2、（胳膊）；,1. (拳头) ; 2. (胳膊) ; 
3460,󳒓,（篾箩（腰围大，口径小，编织精细的））,"(bamboo basket (腰围big, large, 口径小, 编织精细的) )"
3461,󳒔,（男子汉、大丈夫）,"（男子汉, big, large丈夫）"
3462,󳒕,（唠）叨,(唠) 叨
3463,󳒖,咽喉,咽喉
3464,󳒗,1、（篱笆）；2、（当面羞人）；,"1. (篱笆) ; 2. (当face, surface羞person, people) ; "
3465,󳒘,空，闲,"空, 闲"
3466,󳒙,毛（虫）,"hair, wool (虫)"
3467,󳒚,（犁辕（yuan））,(犁辕 (yuan) )
3468,󳒛,（连枷（一种脱粒的农具））,"(连枷 (one种shed, fall off粒的农具) )"
3469,󳒜,（争吵）,（争吵）
3470,󳒝,块,块
3471,󳒞,1、疯；2、（牲畜）发情；,1. 疯; 2. (livestock) 发情; 
3472,󳒟,1、少；2、（皮聂，（古人名，与赤芤（[kōu）同为彝族先民中出现的第二君王））；,"1. 少; 2. (皮聂,  (古person, people名, 与赤芤（[kōu) 同为彝族先民中出现的第twolord, rulerking)）; "
3473,󳒠,1、（眼）昏花；2、视力衰退；,1. (eye) 昏花; 2. 视力衰退; 
3474,󳒡,嘣（象声词）,嘣 (onomatopoeia)
3475,󳒢,1、（屁股、臀部）；2、（尾椎）；3、（山地）；,"1. (屁strand, share, 臀部) ; 2. (tail椎) ; 3, (山place, location) ; "
3476,󳒣,撕裂,撕裂
3477,󳒤,定（了）,定 (了)
3478,󳒥,嘎（做嘎，（祭祖，超度祖灵））,"嘎(做嘎,  (祭祖, 超度祖灵) )"
3479,󳒦,（犁板）,（犁板）
3480,󳒧,（藿麻）,"（藿hemp, numb）"
3481,󳒨,（护寨神）,（护寨神）
3482,󳒩,1、染料；2、蓝靛；,1. 染料; 2. 蓝靛; 
3483,󳒪,鬃（zong）（马鬃、猪鬃）,"鬃(zong)  (horse鬃, 猪鬃)"
3484,󳒫,（裙脚）,（裙脚）
3485,󳒬,（十）一,(ten) one
3486,󳒭,褪（色）,褪 (color)
3487,󳒮,称呼,称呼
3488,󳒯,惧,惧
3489,󳒰,1、加；2、配种；,1. 加; 2. 配种; 
3490,󳒱,（醋水）,（醋水）
3491,󳒲,插,插
3492,󳒳,好看,好看
3493,󳒴,吐,吐
3494,󳒵,（顶）替,"(top, support) 替"
3495,󳒶,恶（心）,"恶 (heart, mind)"
3496,󳒷,（形容词缀）（沉甸甸）,(形容词缀)  (沉甸甸)
3497,󳒸,越过,越过
3498,󳒹,断,断
3499,󳒺,1、（基业）；2、（阿哲，人名、汉文献记载的济火，彝族六祖慕齐齐的第25世孙；又名彝族支系名）；,"1. (基业) ; 2. (阿哲, person, people名, 汉文献记载的济fire, 彝族six祖慕齐齐的第25世孙; 又名彝族支系名) ; "
3500,󳒻,咂,咂
3501,󳒼,羞,羞
3502,󳒽,（骨头）的前加词素,(骨头) 的前加词素
3503,󳒾,沾,"stick to, get stained"
3504,󳒿,1、发髻；2、缨（子）；,1. 发髻; 2. 缨(子) ; 
3505,󳓀,老实、忠厚,"老实, 忠厚"
3506,󳓁,（感谢）,（感谢）
3507,󳓂,穗,穗
3508,󳓃,征讨、讨伐,"征讨, 讨伐"
3509,󳓄,脱（衣服）,"shed, fall off (衣服)"
3510,󳓅,削,削
3511,󳓆,迁徙,迁徙
3512,󳓇,服,服
3513,󳓈,搜查、抄,"搜查, 抄"
3514,󳓉,（生血菜（用猪、鸡血等的生血加盐、香料拌合生吃））,"(生血菜 (用猪, 鸡血等的生血加盐, 香料拌合生吃) )"
3515,󳓊,（收落的庄稼）,"（收fall, drop的crops）"
3516,󳓋,（连枷（一种脱粒的农具））,"(连枷 (one种shed, fall off粒的农具) )"
3517,󳓌,芸豆、金豆、四季豆,"芸豆, 金豆, four季豆"
3518,󳓍,1、骟（母畜）；2、（苦荞）；,1. 骟(母畜) ; 2. (苦荞) ; 
3519,󳓎,（核）仁,(核) 仁
3520,󳓏,（下（颗粒状的）雪）,"(descend, go down (颗粒状的) snow)"
3521,󳓐,（鸟）鸣（清晰之声）,(鸟) 鸣 (清晰之声)
3522,󳓑,烙,烙
3523,󳓒,1、（口齿）清楚；2、说（古语）、开口；,"1. (口齿) 清楚; 2. 说(ancient saying) , drive, operate口; "
3524,󳓓,1、分散、散开；2、散乱；,"1. 分散, 散drive, operate; 2. 散乱; "
3525,󳓔,（晒谷场上翻粮食食用的）刮板,"(dry in sun, expose谷场上turn over, flip粮食食用的) 刮板"
3526,󳓕,缴获,缴获
3527,󳓖,1、洗；2、淘;,1. 洗; 2. 淘;
3528,󳓗,火药,fire药
3529,󳓘,杀,杀
3530,󳓙,敲,敲
3531,󳓚,（秧鸡）,（秧鸡）
3532,󳓛,明锐,明锐
3533,󳓜,1、出；2、冒；3、暴露；,"1. 出; 2. 冒; 3, 暴露; "
3534,󳓝,扬（稻子、豆类）,"扬 (稻子, 豆class)"
3535,󳓞,数落,"数fall, drop"
3536,󳓟,回应,回应
3537,󳓠,（箍、栓、捏、拉、捶）紧,"(hoop, ring, 栓, 捏, 拉, 捶) 紧"
3538,󳓡,绕、绾（wan）,"绕, 绾 (wan)"
3539,󳓢,1、线；2、丝；,"1. thread, line; 2. 丝; "
3540,󳓣,聘请,聘请
3541,󳓤,1、板、片；2、牌；,"1. 板, 片; 2. 牌; "
3542,󳓥,倍（数）,倍 (数)
3543,󳓦,（轿子）,（轿子）
3544,󳓧,（衣襟）,（衣襟）
3545,󳓨,章节,章节
3546,󳓩,卡,卡
3547,󳓪,（疾病（泛称））,(疾病 (泛称) )
3548,󳓫,1、（花）谢；2、（史派，彝语指云南石屏）；3、（派德，彝语指云南新平县）；,"1. (花) 谢; 2. (史派, 彝语point, indicate云南石屏) ; 3, (派德, 彝语point, indicate云南新平县) ; "
3549,󳓬,戳,戳
3550,󳓭,（闩）门,(闩) 门
3551,󳓮,（说话伤人）,"（说话伤person, people）"
3552,󳓯,（健壮）,（健壮）
3553,󳓰,1、（蚂蚁）；2、地上拖竹竿之声；,"1. (蚂蚁) ; 2. place, location上拖竹竿之声; "
3554,󳓱,（汆（cuān）烫）,(汆 (cuān) 烫)
3555,󳓲,1、自（己）；2、我；,1. 自(己) ; 2. 我; 
3556,󳓳,1、抢；2、夺；,1. 抢; 2. 夺; 
3557,󳓴,（枪）,（枪）
3558,󳓵,骟（牛、猪）,"骟 (cow, ox, 猪)"
3559,󳓶,1、（盖头帕（妇女头饰）；2、（包茅，俗名扁竹叶，彝族祭祀时，将包茅插在灵位之前，酒洒于其上，以示祭献神灵，古称“包茅缩酒”）；,"1. (盖头帕（妇女头饰) ; 2. (pack, wrap茅, 俗名扁竹叶, 彝族祭祀时, 将pack, wrap茅插在灵位之前, wine, alcohol洒于其上, 以示祭献神灵, 古称“pack, wrap茅缩wine, alcohol”) ; "
3560,󳓷,山,山
3561,󳓸,开（花）,"drive, operate (花)"
3562,󳓹,1、（树）棵；2、茎、干；,"1. (树) 棵; 2. 茎, dry; "
3563,󳓺,管事、作主,"tube, pipe事, 作主"
3564,󳓻,喜欢,喜欢
3565,󳓼,（傻眼）,（傻eye）
3566,󳓽,争论、辩论,"争论, 辩论"
3567,󳓾,（泥泞）,（泥泞）
3568,󳓿,摔跤,摔跤
3569,󳔀,勒,勒
3570,󳔁,曾孙,曾孙
3571,󳔂,抬,抬
3572,󳔃,泪,泪
3573,󳔄,（机器）,（机器）
3574,󳔅,（纽襻）,（纽襻）
3575,󳔆,张（口）,张 (口)
3576,󳔇,裂（开）,"裂 (drive, operate)"
3577,󳔈,修（枝）,修 (枝)
3578,󳔉,（凤凰）,（凤凰）
3579,󳔊,（花）蕾,(花) 蕾
3580,󳔋,败、输,"败, 输"
3581,󳔌,点（播）,点 (播)
3582,󳔍,（心）神,"(heart, mind) 神"
3583,󳔎,檬（树名）（檬树，又名姜子树、柚栗子树）,"檬(树名)  (檬树, 又名姜子树, 柚栗子树)"
3584,󳔏,壅（yōng）（土）（把土或肥料培在植物的根上）,"壅(yōng)  (土)（把土或肥料培在植object, thing的根上）"
3585,󳔐,花,花
3586,󳔑,敬爱,敬爱
3587,󳔒,紫红色,紫红color
3588,󳔓,谢,谢
3589,󳔔,（悄悄的）,（悄悄的）
3590,󳔕,（芋头）,（芋头）
3591,󳔖,喝（使动）,喝 (使动)
3592,󳔗,搁、放置,"搁, 放置"
3593,󳔘,（家具、用具、器材）,"（家具, 用具, 器材）"
3594,󳔙,撕、扯（羊毛等）,"撕, 扯 (羊hair, wool等)"
3595,󳔚,伤心,"伤heart, mind"
3596,󳔛,无能、丑陋,"无能, 丑陋"
3597,󳔜,贵,贵
3598,󳔝,（庆祝）,（庆祝）
3599,󳔞,倒毛,"倒hair, wool"
3600,󳔟,背（孩子）,背 (孩子)
3601,󳔠,逝世,逝世
3602,󳔡,接（受）,接 (受)
3603,󳔢,剪,剪
3604,󳔣,倒（使动）,倒 (使动)
3605,󳔤,（哪里）,（哪里）
3606,󳔥,（夭折）,（夭折）
3607,󳔦,（（1）经常、天天；（2）哪天；）,"( (1) 经常, sky, heavensky, heaven; (2) 哪sky, heaven; )"
3608,󳔧,1、燎；2、烧；,1. 燎; 2. 烧; 
3609,󳔨,（早饭）,（早饭）
3610,󳔩,根,根
3611,󳔪,（拙脚笨手）,（拙脚笨hand）
3612,󳔫,伤、悲,"伤, 悲"
3613,󳔬,仗恃,仗恃
3614,󳔭,（汆烫）,（汆烫）
3615,󳔮,（马）匹（量词）,(horse) 匹 (量词)
3616,󳔯,欢喜、高兴,"欢喜, 高兴"
3617,󳔰,（虽然）,（虽然）
3618,󳔱,孵出,孵出
3619,󳔲,擂,擂
3620,󳔳,爸爸、父亲、爹,"爸爸, 父亲, 爹"
3621,󳔴,嫂子,嫂子
3622,󳔵,獾（huān）,獾 (huān)
3623,󳔶,吊（着）,吊 (着)
3624,󳔷,明亮,明亮
3625,󳔸,张开,"张drive, operate"
3626,󳔹,（晚餐）,（晚餐）
3627,󳔺,（禾）苗,(禾) 苗
3628,󳔻,穿、过,"pierce, penetrate, 过"
3629,󳔼,（价格）贵,(价格) 贵
3630,󳔽,1、杠（自动）；2、扛（使动）；,1. 杠(自动) ; 2. 扛(使动) ; 
3631,󳔾,骂,骂
3632,󳔿,境、界,"境, 界"
3633,󳕀,1、劝（说）；2、挽、留；,"1. 劝(说) ; 2. 挽, 留; "
3634,󳕁,吓跳,吓跳
3635,󳕂,（老实、忠厚）,"（老实, 忠厚）"
3636,󳕃,威（风）、威（势）,"威(风) , 威 (势)"
3637,󳕄,1、行、可以；2、（哩岱楼、地名，彝语指云南石林县城）；,"1. 行, 可以; 2. (哩岱楼, place name, 彝语point, indicate云南石林县城) ; "
3638,󳕅,扭（断）,"twist, turn (断)"
3639,󳕆,（空间垂直的）下面,"(space垂直的) descend, go downface, surface"
3640,󳕇,(昌盛、发展）,"(昌盛, 发展）"
3641,󳕈,搬迁、迁（居）,"搬迁, 迁 (居)"
3642,󳕉,稻（谷、米）,"稻 (谷, 米)"
3643,󳕊,粗（大）,"粗 (big, large)"
3644,󳕋,1、（牲畜）产崽；2、生（蛆）；,1. (livestock) 产崽; 2. 生(蛆) ; 
3645,󳕌,（赶紧）,（赶紧）
3646,󳕍,绊,"trip, stumble"
3647,󳕎,剁,剁
3648,󳕏,1、剐、剥（皮）；2、刮；,"1. 剐, 剥(皮) ; 2. 刮; "
3649,󳕐,1、刮（风）；2、风（流）；,"1. 刮(风) ; 2. 风(flow, stream) ; "
3650,󳕑,四（数词）,four (数词)
3651,󳕒,同、齐,"同, 齐"
3652,󳕓,冬,冬
3653,󳕔,（（对神）祝告）,( (对神) 祝告)
3654,󳕕,乌（鸦）,乌 (鸦)
3655,󳕖,弹（动词）,弹 (动词)
3656,󳕗,挣、拼搏,"挣, 拼搏"
3657,󳕘,1、根源；2、（希幕遮，人名，汉文书中记作天皇）；,"1. 根源; 2. (希幕遮, person, people名, 汉文书中记作sky, heaven皇) ; "
3658,󳕙,虐待、折磨、整治,"虐待, 折磨, 整治"
3659,󳕚,撤除,撤除
3660,󳕛,首、曲（量词）,"首, 曲 (量词)"
3661,󳕜,1、灰尘；2、碱；3、凹；,"1. ash, gray尘; 2. 碱; 3, concave; "
3662,󳕝,1、厚；2、稠密；,1. 厚; 2. 稠密; 
3663,󳕞,怀孕,怀孕
3664,󳕟,摇（头）,摇 (头)
3665,󳕠,1、热；2、暑；,1. 热; 2. 暑; 
3666,󳕡,急,急
3667,󳕢,捏,捏
3668,󳕣,围（墙）,围 (wall)
3669,󳕤,旋顶,"旋top, support"
3670,󳕥,板结,板结
3671,󳕦,（陀螺）,（陀螺）
3672,󳕧,（坟墓）,（坟墓）
3673,󳕨,1、鸡（古语）；2、（飞）禽；3、（家）；,"1. 鸡(ancient saying) ; 2. (飞) 禽; 3, (家) ; "
3674,󳕩,1、斗（名词）；2、斗（量词）；,1. 斗(名词) ; 2. 斗(量词) ; 
3675,󳕪,1、个（量词）；2、（完全、全部）；,"1. 个(量词) ; 2. (完全, 全部) ; "
3676,󳕫,这,这
3677,󳕬,（半夏）,（半夏）
3678,󳕭,棺（材）,棺 (材)
3679,󳕮,1、院（落）；2、园；3、（厅）堂；,"1. 院(fall, drop) ; 2. 园; 3, (厅) 堂; "
3680,󳕯,周（岁、年）,"周 (岁, 年)"
3681,󳕰,（周围）,（周围）
3682,󳕱,1、剜（wan）；2、遍（量词）；,1. 剜(wan) ; 2. 遍(量词) ; 
3683,󳕲,1、营；2、扎（营）；,"1. 营; 2. tie, bind(营) ; "
3684,󳕳,1、周围；2、轮（量词）；,1. 周围; 2. 轮(量词) ; 
3685,󳕴,瓦,瓦
3686,󳕵,（砧板）,（砧板）
3687,󳕶,1、夜；2、（日期）；,1. 夜; 2. (日期) ; 
3688,󳕷,（哨棚、窝棚）,"（哨棚, 窝棚）"
3689,󳕸,砖,砖
3690,󳕹,1、轮流；2、（村庄）；3、（“乐作”，彝族的一种舞蹈）；,"1. 轮flow, stream; 2. (村庄) ; 3, (“乐作”, 彝族的one种舞蹈) ; "
3691,󳕺,游逛、走串,"游逛, 走串"
3692,󳕻,1、平整、铲平；2、（和平）；,"1. 平整, 铲平; 2. (和平) ; "
3693,󳕼,墨,墨
3694,󳕽,（轻）舂,(轻) 舂
3695,󳕾,松、散,"松, 散"
3696,󳕿,醉,醉
3697,󳖀,创（立、始）,"创 (立, 始)"
3698,󳖁,黑,黑
3699,󳖂,（形容词缀）（累累地）,"(形容词缀)  (累累place, location)"
3700,󳖃,奖赏、赏赐,"奖赏, 赏赐"
3701,󳖄,菜的词尾,菜的词tail
3702,󳖅,扳,扳
3703,󳖆,1、魂魄；2、鬼；3、（螳螂）；,"1. 魂魄; 2. 鬼; 3, (螳螂) ; "
3704,󳖇,相遇,相遇
3705,󳖈,壶、瓶,"壶, 瓶"
3706,󳖉,（吩咐）,（吩咐）
3707,󳖊,（睫毛）,"（睫hair, wool）"
3708,󳖋,撮（量词）,撮 (量词)
3709,󳖌,（唠叨）,（唠叨）
3710,󳖍,深,深
3711,󳖎,救,救
3712,󳖏,（时）刻,(时) 刻
3713,󳖐,（眼睁睁）,（eye睁睁）
3714,󳖑,（青木叶，彝族用以浇酒祭神）,"（青wood叶, 彝族用以浇wine, alcohol祭神）"
3715,󳖒,（形容嚼食物的动作）,"（形容嚼食object, thing的动作）"
3716,󳖓,马桑（树）,horse桑 (树)
3717,󳖔,（鲸鱼）,（鲸鱼）
3718,󳖕,睡（使动）,睡 (使动)
3719,󳖖,生（火）,生 (fire)
3720,󳖗,1、扇（子）；2、扇（风）；,1. 扇(子) ; 2. 扇(风) ; 
3721,󳖘,想念、惦念,"想念, 惦念"
3722,󳖙,把、柄,"把, 柄"
3723,󳖚,依靠,"依lean, depend on"
3724,󳖛,1、（作）揖；2、祷告；,1. (作) 揖; 2. pray; 
