0xf222e	󲈮	󳤣|󐁥󲐀，󲊂󐁥󲐀
0xf3307	󳌇	󲴊󳓆󳎬󲜤󳁂󳛱󳅗󲨝󳖇󲴴󲮨󳛲󲹌󳐋|的意思是1、应；2、间；（1. 应; 2. 间;）。
0xf3308	󳌈	（heart, mindash, gray意cold） in|彝文字符的中文含义是（心灰意冷），英文含义是（heart, 
0xf3309	󳌉	（祈祷, pray）|彝文字符的词汇编号是5864。
0xf330a	󳌊	󳗿󲻎󳐷󲳒󲰢󲻨󲲼󲫢󳕐󲩑|(词缀)  (稀疏, 稀拉)
0xf330b	󳌋	是通用彝文字符 unicode 0xf330b 滇川黔桂彝文|的意思是（昏沉沉）（（昏沉沉））。
0xf330c	󳌌	彝文字符的中文含义是鼾（han），英文含义是鼾 (han)。|彝文字符的词汇编号是5867。
0xf330d	󳌍	彝文 unicode:0xf330d 通用彝文字符集|饲养 in Yi script is  (饲养).
0xf330e	󳌎	擞 (sǒu)|的英文是擞 (sǒu)，中文是擞（sǒu）。
0xf330f	󳌏	字符的词汇编号是5870。|󲣑󲻛󳒁󲳳
0xf3310	󳌐	塞（动词）用通用彝文写作「」。|的意思是塞（动词）（塞 (动词)）。
0xf3311	󳌑	󲼈 tree ocean|彝文字符的中文含义是球类运动的统称，英文含义是球class运
0xf3312	󳌒	彝文字符的中文含义是早熟（种子），英文含义是早cooked,|早熟（种子）用通用彝文写作「」。
0xf3313	󳌓	󲻨󳇴󳓞󳋷󲫵󳑰󲞥󲨺󲼄󳐜󲶸󳊶|(overlapping词缀)  (青幽幽)
0xf3314	󳌔	󲜳󲶮󲤵󲬼󳛅󳀨󳁩󲧪󲥒󳗢󲵯󲰆󳌂󳁺|󳄐󲯫󲫢󳅽󲰖󳐓󲣣󳇃󲽲󳐗󳉿󳅸󲱷
0xf3315	󳌕	是通用彝文字符 unicode 0xf3315 滇川黔桂彝文|󳐿󲞯 slow fire strong
0xf3316	󳌖	是通用彝文字符 unicode 0xf3316 滇川黔桂彝文|的英文是创 (建)，中文是创（建）。
0xf3317	󳌗	󳆇󳍔󲨅󳅶󳍰󳍥󲼲󲩯󳂵󲲍|The Yi script for '1、洁净；2、清洁；'
0xf3318	󳌘	󲞮󲶱󲯊󲾳󳍋󲹼󳌇󲟋󲹅󲹆󲡌󲮧|彝文字符的词汇编号是5879。
0xf3319	󳌙	彝文字符的中文含义是（唢呐、里啦），英文含义是（唢呐, 里啦|󲩒󲢪󲫱󳒠󲥴󲤅󳌯
0xf331a	󳌚	The Yi script for '（依靠）' is ''|󲺘󳌟󲵾󲷎󳘿󳂈󳇾󳆮󲣡󳚦󳄇󲶄󲵟
0xf331b	󳌛	󲰌󳘄󳙕󲹤󳁥󲿙󲸁󳅨󲟤󳋮|󲫆󲸼 brave cold spirit
0xf331c	󳌜	󳖘󲼨󳘟󲹔󲸯󲫨󲠖󳋏󳒶󳕱󳏚󳇛|󳊽󳆪󳄤󲲧󳚜󲬈󲡕󲧩
0xf331d	󳌝	1. (懒惰) ; 2. (困倦) ;|󲴕 friend slow
0xf331e	󳌞	󲠛󳍛󲴓󲹓󲜿󳑎󳃂󲱤󲺦󳃎󲵫󲠺󲝔󲨰|󳚳󲿥󳋽󳊂󳊓󲮏󳙞󳈹󲜕
0xf331f	󳌟	1. 云; 2. (点措博, 彝语point, indica|󳙷󲥈󳔞󲮈󳌭󳄰󲹼󳌫󳛅󳌑󲻀
0xf3320	󳌠	󳓗󲩖󳉱󳀸󳌲󳓟󳉻󲸗󳁖󳈢󳆈󳉬󳍙|（鲁岱, person, people名, 笃慕第ten代孙
0xf3321	󳌡	肋 (骨)|的英文是肋 (骨)，中文是肋（骨）。
0xf3322	󳌢	󲶠 brave sun|cow, ox (ancient saying) in Yi
0xf3323	󳌣	编号5890对应彝文字符。|彝文字符的中文含义是配种（畜牲），英文含义是配种 (畜牲)。
0xf3324	󳌤	󲰻󳘕󲮛󲥗󳐢󳛙󳉑󲩷|字符的词汇编号是5891。
0xf3325	󳌥	是通用彝文字符 unicode 0xf3325 滇川黔桂彝文|（刺）眼用通用彝文写作「」。
0xf3326	󳌦	󲴺󲳮 happy torch festival thank |󳅞󲩲󲸴󳏏󳊲󳆦󳐸󳒓󳅙󳉤
0xf3327	󳌧	󳛸󲝾󳈛󲽐󳅠󳈿󳖏󳒼󳈹󲺩󳁱󳎅󳂏|(疾病) flow, stream行 in Yi scrip
0xf3328	󳌨	的英文是（骡子），中文是（骡子）。|󳁖󲼩󳚲󲮽󳈺󳈪󳙍󳜜󳈢
0xf3329	󳌩	1. 轮flow, stream; 2. (年) 轮;|󳔄󲫋󲲥󲲆󲤥󳂑󳏫󲴞󲦥󳎍󳔵󲸲󲬕󳋃
0xf332a	󳌪	（可能, 也许）|󳅬󳍑󲥩󳄅󲟩󳙊󳜠󳘇󳈰󲡜󳃐󲨞󲥫󲜭
0xf332b	󳌫	的意思是（富）有（(富) 有）。|彝文字符的中文含义是（富）有，英文含义是(富) 有。
0xf332c	󳌬	󲲎󳑯 kind tree family|󲲉󲲘󲹯󲼙󲣸󳇚󳈡󲟬󳊁󳍲󳑓󲿄󲱨
0xf332d	󳌭	󲺼󲢟 fire heart spirit|󳀚󲬎󲬢󲾧󳛐󲰟󳗛󳆀󳃬󲲿
0xf332e	󳌮	󲽐󲟌󳌏󲤓󲧃󳒢󳔆󲞅󲟇󳆶󲠞󲰚|󲨌󳄅󳔸󳕰󳌻󲫁󳋎󲾵󳇙󳂌󲠔
0xf332f	󳌯	过敏 in Yi script is  (过敏).|󲩒󲢪󲫱󳒠󲥴󲤅󳌙
0xf3330	󳌰	的意思是飞翔（飞翔）。|是通用彝文字符 unicode 0xf3330 滇川黔桂彝文
0xf3331	󳌱	󳔹󲮤󲧘󲪘󲬚󳕶󲠫󳓹󳗆󲶢󲭡󲸘󲹴󲟘|的英文是菜，中文是菜。
0xf3332	󳌲	󲮥 death space|的意思是1、芽；2、薹；（1. 芽; 2. 薹;）。
0xf3333	󳌳	󳔇󲺖󳖒󳔿󲢴󲡠󳉜󳗣󲥓󲷉󳎖󳆺|󳛑󲩖󲳢󳔐󳖇󳒯󳃴󳂥󲦛󲰷
0xf3334	󳌴	彝文 unicode:0xf3334 通用彝文字符集|󳑕󳇂󳊧󳎫󳒨󳅱󲧊󳔷󲬐󳄘󳔬
0xf3335	󳌵	彝文 unicode:0xf3335 通用彝文字符集|「传送」的通用彝文是「」。
0xf3336	󳌶	的英文是（昆明），中文是（昆明）。|󲮪󳅎󳖧󲠍󲪨󳊃󲧶󲴪󲧓󳎪󲨌󲰙󲟳
0xf3337	󳌷	(罗汉松 (滇名杉树) )|是通用彝文字符 unicode 0xf3337 滇川黔桂彝文
0xf3338	󳌸	彝文 unicode:0xf3338 通用彝文字符集|的意思是（糖的）前缀词素（(糖的) 前缀词素）。
0xf3339	󳌹	彝文字符的中文含义是（碓）挡，英文含义是(碓) 挡。|的意思是（碓）挡（(碓) 挡）。
0xf333a	󳌺	猫用通用彝文写作「」。|猫 in Yi script is  (猫).
0xf333b	󳌻	󳌱󳓏󲩎󳄦󲠌󲟙󲣑󳏬󲣬|彝文 unicode:0xf333b 通用彝文字符集
0xf333c	󳌼	󲤞󳂣󲿪󲦘󳒥󳋧󳐀󳛻|是通用彝文字符 unicode 0xf333c 滇川黔桂彝文
0xf333d	󳌽	（鼓起）挣用通用彝文写作「」。|彝文字符的中文含义是（鼓起）挣，英文含义是(鼓rise, g
0xf333e	󳌾	是通用彝文字符 unicode 0xf333e 滇川黔桂彝文|󲷦󲶬󳀪󲰡󲴒󲺂󳕵󳑈󲳌󳖝󳖀
0xf333f	󳌿	的意思是胸（胸）。|胸 in Yi script is  (胸).
0xf3340	󳍀	彝文 unicode:0xf3340 通用彝文字符集|（one项项） in Yi script is  (（一项项
0xf3341	󳍁	「1、（世上、世界）；2、（阳世间）；」的通用彝文是「」。|󲹃󲳸󲾗󲻬󳎷󲯢
0xf3342	󳍂	󲯜󲯷 strong fast cloud|彝文 unicode:0xf3342 通用彝文字符集
0xf3343	󳍃	󲧶󳉓󲠢󲭄󲷼󲶢󲞹󲭙󳎇󲩼|是通用彝文字符 unicode 0xf3343 滇川黔桂彝文
0xf3344	󳍄	(水渡槽 (涧槽) )|是通用彝文字符 unicode 0xf3344 滇川黔桂彝文
0xf3345	󳍅	彝文字符的中文含义是承包、承揽、包揽，英文含义是承pack,|󲮮󲡿󳗵󳅣󳂬󳒐󳆉󲭾󳘶󲧦󲰩󳁓󲰛
0xf3346	󳍆	󲩂󳕜󳍼󲻔󲹷󲫚󲤎󳜎|是通用彝文字符 unicode 0xf3346 滇川黔桂彝文
0xf3347	󳍇	的意思是（逗笑）（（逗笑））。|（逗笑）
0xf3348	󳍈	的英文是尖，中文是尖。|󲿍󳗿󲡕󲣉󳄗󲭅󳙟
0xf3349	󳍉	The Yi script for '（后面、后边）' is|彝文字符的中文含义是（后面、后边），英文含义是（后face,
0xf334a	󳍊	󲦍󳌒󳓭󲴘󳓿|彝文 unicode:0xf334a 通用彝文字符集
0xf334b	󳍋	的意思是梗、硌（ge）（梗, 硌 (ge)）。|编号5930对应彝文字符。
0xf334c	󳍌	󲼷󲺪󳕶󲥌󳁉󲿴󳅩󲥭󳗠󳜊|󳉕󲳔󳙤󲦹󲰳󳛋󲼠󳍭󳇒󲜴󲝾󳌨󲠻
0xf334d	󳍍	彝文 unicode:0xf334d 通用彝文字符集|（美丽, 漂亮）
0xf334e	󳍎	(dry) 罅 (xià)|是通用彝文字符 unicode 0xf334e 滇川黔桂彝文
0xf334f	󳍏	󲾽󲠺󲲰󲤩󳑙󲮡󲩱󳐂󳎃󳗽󲴐󲧧󳕬|划 (破)
0xf3350	󳍐	󲾙󲭺󲲢󲬜󳜎󲩋󲢛󳑿󲣕󳜁|彝文字符的中文含义是蹒跚，英文含义是蹒跚。
0xf3351	󳍑	的意思是（蘑菇、菌子）（（蘑菇, 菌子））。|The Yi script for '（蘑菇、菌子）' is
0xf3352	󳍒	󳂚󲸈󲭋󲯵󲳏󲴠|的意思是（双里的）只（(双里的) 只）。
0xf3353	󳍓	󳒠󲥝 slow ugly death|󲬝󲜣󲢭󲱶󲤲󳃾󲡥󲷶󳈛󳈇󲨕󲨧󲩙󳙧
0xf3354	󳍔	1. 瞅(eye) ; 2. oblique, slante|是通用彝文字符 unicode 0xf3354 滇川黔桂彝文
0xf3355	󳍕	（若dry） in Yi script is  (（若干）)|彝文字符的中文含义是（若干），英文含义是（若dry）。
0xf3356	󳍖	鹞(子)  (雀eagle) in Yi script is|的意思是鹞（子）（雀鹰）（鹞(子)  (雀eagle)）。
0xf3357	󳍗	是通用彝文字符 unicode 0xf3357 滇川黔桂彝文|(传说中的) 神eagle in Yi script is 
0xf3358	󳍘	󲺇󳙛󳒇󳔚󲱞󳑯󲮡󳆸󲽊󲣏󲠒󳐏|󲜛󲣎 heart earth desert
0xf3359	󳍙	󳓗󲩖󳉱󳀸󳌲󳓟󳉻󲸗󳁖󳈢󳆈󳉬󳌠|󲠂󲲬󳊖󳗩󲜟󲰼󲳛󲦜󲬚
0xf335a	󳍚	󲾋󳋤󲞄󲰥󲜐󳜤󳈏󲤞󲣕󲥌󲳌󳓊󳚕󳕯|󳁨󲝻󳂿󳙡󲫱󳈖󳘎󳖋󲝷󳙪󲝤󲽞󲹦
0xf335b	󳍛	「1、轻；2（价格便宜）；」的通用彝文是「」。|1, 轻; 2(价格cheap, inexpensive) 
0xf335c	󳍜	󳚢󲟺󳑾󲢜󲭪󲼍󳔕󳊁󲳟󲱝|󲬣󳖣󳓟󲱤󳐚󳎊󲧹󲻠󲳈
0xf335d	󳍝	彝文 unicode:0xf335d 通用彝文字符集|彝文字符的中文含义是（横）搭，英文含义是(横) 搭。
0xf335e	󳍞	彝文字符的中文含义是（阔叶韭菜），英文含义是（阔叶韭菜）。|󳐂󳆕󲷈󲮲󳒗󲵃󲬉󳏏󲨼󲵻󲹋󳓣󲰡󳇑
0xf335f	󳍟	的英文是些, 点，中文是些、点。|「些、点」的通用彝文是「」。
0xf3360	󳍠	（麒麟） in Yi script is  (（麒麟）).|（麒麟）用通用彝文写作「」。
0xf3361	󳍡	彝文 unicode:0xf3361 通用彝文字符集|󳁅󲸟󲣤󲲊󲡄󳈾󲩄󲼃󳒎󳋄󳁀󲼮
0xf3362	󳍢	󲣯󲽻󲸻󳔼󳓑󲩪󲦒󳄫󲪚󲵤󳑂󲾩󳋫󲹸|是通用彝文字符 unicode 0xf3362 滇川黔桂彝文
0xf3363	󳍣	󳆆󳗯󳃂󲪣󳒼󳓫󲵦󲺫󲞉󳈲󲽨󲤋󳔧|1. 姑姑, 姑妈; 2. 婆(媳) ;
0xf3364	󳍤	󲰜󳀩󳜚󲰎󳚻󳘨󲣚󳓼󲧚󲯢󲶓󲦭󲠻󲤲|󲭌󲧛󲱜󳑏󳎇󳈜󳗲󳉋󳁘󳄍
0xf3365	󳍥	󳇇󲡣󲝓󲠻󳀵󳔣󲤗󲢀󲬊󳅺|彝文 unicode:0xf3365 通用彝文字符集
0xf3366	󳍦	彝文 unicode:0xf3366 通用彝文字符集|彝文字符的中文含义是（瘦），英文含义是（瘦）。
0xf3367	󳍧	迎接 in Yi script is  (迎接).|是通用彝文字符 unicode 0xf3367 滇川黔桂彝文
0xf3368	󳍨	的英文是（活结），中文是（活结）。|是通用彝文字符 unicode 0xf3368 滇川黔桂彝文
0xf3369	󳍩	字符的词汇编号是5960。|彝文字符的中文含义是（卧倒、卧下），英文含义是（卧倒, 卧d
0xf336a	󳍪	彝文字符的中文含义是（囤箩），英文含义是（囤箩）。|󲡑󳔚󲢝󳛢󲡅󳖾󲮍󲵕󲝗󳄠󲸙󲞺
0xf336b	󳍫	的英文是（白face, surface狐），中文是（白面狐）|的意思是（白面狐）（（白face, surface狐））。
0xf336c	󳍬	彝文 unicode:0xf336c 通用彝文字符集|󳇁󲰗󲧙󲬸󳈼󲪭󲝯󳀢󲰀󳉇󳙚󳔵
0xf336d	󳍭	彝文 unicode:0xf336d 通用彝文字符集|是通用彝文字符 unicode 0xf336d 滇川黔桂彝文
0xf336e	󳍮	的意思是枣（枣）。|枣
0xf336f	󳍯	是通用彝文字符 unicode 0xf336f 滇川黔桂彝文|1. 丢失; 2. 消失;
0xf3370	󳍰	彝文字符的中文含义是（钩子），英文含义是（钩子）。|󳆇󳍔󲨅󳅶󳌗󳍥󲼲󲩯󳂵󲲍
0xf3371	󳍱	贱（价格）用通用彝文写作「」。|贱 (价格)
0xf3372	󳍲	󲲉󲲘󲹯󲼙󲣸󳇚󳈡󳌬󲟬󳊁󳑓󲿄󲱨|󳈌󳛥󳘵󲜴󲥨󳚡󳗚󲧉󲜟󳜓
0xf3373	󳍳	strip, item, 支, 杆, strand, sha|󲷸󳄫󲝎󲽨󲾴󳅷󳆽󳃁󲣔󳑺󲺠󲤛
0xf3374	󳍴	彝文 unicode:0xf3374 通用彝文字符集|彝文字符的中文含义是（砂锅），英文含义是（砂锅）。
0xf3375	󳍵	泻 in Yi script is  (泻).|的英文是泻，中文是泻。
0xf3376	󳍶	彝文字符的中文含义是前（眼前、面前），英文含义是前 (eye|彝文 unicode:0xf3376 通用彝文字符集
0xf3377	󳍷	的英文是添, 掺，中文是添、掺。|添, 掺
0xf3378	󳍸	（杏子） in Yi script is  (（杏子）).|彝文字符的中文含义是（杏子），英文含义是（杏子）。
0xf3379	󳍹	彝文 unicode:0xf3379 通用彝文字符集|󲻞󳖩󳙯󲼎󲥴󳚂󲶀󲜡󳜀󲠑󲯷󲳄
0xf337a	󳍺	的意思是（行动）（（行动））。|󳈰󲰵󳐛󲞐󲽻󳔶󲝋󲩻󳅵󲤿󳈶󲼶
0xf337b	󳍻	是通用彝文字符 unicode 0xf337b 滇川黔桂彝文|的意思是炎热（炎热）。
0xf337c	󳍼	（松明子） in Yi script is  (（松明子）)|󳗑󳅑󲷲󲹈󲝫󳑥󲣥󳆽󲱾
0xf337d	󳍽	的英文是掩盖，中文是掩盖。|掩盖 in Yi script is  (掩盖).
0xf337e	󳍾	（芦苇） in Yi script is  (（芦苇）).|彝文字符的中文含义是（芦苇），英文含义是（芦苇）。
0xf337f	󳍿	是通用彝文字符 unicode 0xf337f 滇川黔桂彝文|󳕩󳚢󲨣󳗕󲨎󳘼󳐞
0xf3380	󳎀	结 (tail)|的意思是结（尾）（结 (tail)）。
0xf3381	󳎁	彝文「」的意思是「寒」，英文是 cold。|󲱬󲳋󳕏󲭃󳇢󳚍󳅕󳉯󲨚󳛯
0xf3382	󳎂	󳔦󲽯󳓕󳕡󲫅󳛹󳖻|󲱌󳂁󲩳󲳤󳃴󲩂󳑿󲯷󳊬󲵅󲪳󲭕󳜊
0xf3383	󳎃	1. (瘌蛤蟆) ; 2. (蝌蚪) ;|󲢩󲩼󳀬󳋬󳄶󲭴󳎥󲴿󳌥󳉝󳆿
0xf3384	󳎄	是通用彝文字符 unicode 0xf3384 滇川黔桂彝文|󳃏󳗹󳀎󲡶󲻤󲪑󲵣󲦦󳔇󲬪󲦮󲦈󲶛
0xf3385	󳎅	The Yi script for '（三菱草）' is '|「（三菱草）」的通用彝文是「」。
0xf3386	󳎆	賨(cong)  (旧时民间的储金会)|是通用彝文字符 unicode 0xf3386 滇川黔桂彝文
0xf3387	󳎇	The Yi script for '灾' is ''. I|的英文是灾，中文是灾。
0xf3388	󳎈	The Yi script for '镀（金银铜等）' is|的英文是镀 (金银铜等)，中文是镀（金银铜等）。
0xf3389	󳎉	的英文是（蟋蟀），中文是（蟋蟀）。|󲟫󲩥󲟿󳎬 when is yi new year yi ne
0xf338a	󳎊	彝文字符的词汇编号是5993。|是通用彝文字符 unicode 0xf338a 滇川黔桂彝文
0xf338b	󳎋	是通用彝文字符 unicode 0xf338b 滇川黔桂彝文|The Yi script for '1、蛇；2、巳（地支第
0xf338c	󳎌	是通用彝文字符 unicode 0xf338c 滇川黔桂彝文|彝文 unicode:0xf338c 通用彝文字符集
0xf338d	󳎍	shed, fall off (hair, wool) in|彝文字符的中文含义是脱（毛），英文含义是shed, fall
0xf338e	󳎎	是通用彝文字符 unicode 0xf338e 滇川黔桂彝文|（简single, alone, 容易, 简易）
0xf338f	󳎏	󲨒󳉋󳖏󲴁󲯨|是通用彝文字符 unicode 0xf338f 滇川黔桂彝文
0xf3390	󳎐	󲧮󳅃󳉥󲝄󳚵󲼭󲞐󲥃󳛌󲿤󳆡󲬌󲬾󳋎|是通用彝文字符 unicode 0xf3390 滇川黔桂彝文
0xf3391	󳎑	的英文是（另外），中文是（另外）。|是通用彝文字符 unicode 0xf3391 滇川黔桂彝文
0xf3392	󳎒	(踩) 偏, 虚 in Yi script is  (（踩）|是通用彝文字符 unicode 0xf3392 滇川黔桂彝文
0xf3393	󳎓	彝文 unicode:0xf3393 通用彝文字符集|󳌨󲥉 big heart sun
0xf3394	󳎔	彝文字符的中文含义是（和尚），英文含义是（和尚）。|（和尚） in Yi script is  (（和尚）).
0xf3395	󳎕	是通用彝文字符 unicode 0xf3395 滇川黔桂彝文|1. (实勺 (古彝族one个部族名称) ); 2. (实楚
0xf3396	󳎖	󳔇󲺖󳖒󳔿󲢴󲡠󳉜󳗣󳌳󲥓󲷉󳆺|(平face, surface) 凸rise, get up
0xf3397	󳎗	彝文字符的中文含义是（远距离），英文含义是（远距离）。|彝文 unicode:0xf3397 通用彝文字符集
0xf3398	󳎘	彝文 unicode:0xf3398 通用彝文字符集|󲫘󳂉󳈁󳒀󳕆
0xf3399	󳎙	（好久）|的意思是（好久）（（好久））。
0xf339a	󳎚	的意思是（枪、炮）（（枪, 炮））。|的英文是（枪, 炮），中文是（枪、炮）。
0xf339b	󳎛	󳃩󲜥󳂡󳚀󲨢|󲱉 rain island
0xf339c	󳎜	忙|󳄴󳖀󲢖󲦎󳅫󳐲󲪡󲤃󲩤󲸷
0xf339d	󳎝	明 (年)|的意思是明（年）（明 (年)）。
0xf339e	󳎞	是通用彝文字符 unicode 0xf339e 滇川黔桂彝文|󳗷󲜯󳍛󲹋󲱙󳜥󳗑󳕌󳗣󲫄󲯧󲱌󳛕󳀻
0xf339f	󳎟	彝文 unicode:0xf339f 通用彝文字符集|󲿧󳜂󳔃󳓋󲱃󳍺󲫞󳂪󲴴󲿱
0xf33a0	󳎠	彝文字符的中文含义是缘故、原因，英文含义是缘故, 原因。|󲤿󲯛󲦈󲝴󳐨󲡦󳛛󲯺󲦽󲤜󲰌
0xf33a1	󳎡	󳒳󲟌󲲭󳕕󲳪󲞌󲾴|彝文 unicode:0xf33a1 通用彝文字符集
0xf33a2	󳎢	句|句 in Yi script is  (句).
0xf33a3	󳎣	编号6018对应彝文字符。|彝文字符的中文含义是乖，英文含义是乖。
0xf33a4	󳎤	󳋴󳛘󲩑󳖄󳘩󳀈󳍿󳜒|󳊠󳓓󲟐󳑈󲽃󲭈󲦃󳇢󳋂󲿇󲶕󲻥󲞇󳎮
0xf33a5	󳎥	󳖑󲻍󲯒󳈣󳀤󲭅󲪍󳓹󲪛󲷱󲨑|󳍈󲶉󲳭󲯟󳏣󲳢󲿀󳌨󲯝󲤶󲨐󳘏󳃇
0xf33a6	󳎦	布用通用彝文写作「」。|󳉹󳑲󳋭󳘓󲬖
0xf33a7	󳎧	The Yi script for '（牛的）蜂巢胃' is|(cow, ox的) 蜂巢胃
0xf33a8	󳎨	󳘛󳊪󳏐󲥮󲤍󲜞󲩶󲾫󳏨󲱉󲰈󳚀|的英文是烙，中文是烙。
0xf33a9	󳎩	是通用彝文字符 unicode 0xf33a9 滇川黔桂彝文|彝文字符的中文含义是注意，英文含义是注意。
0xf33aa	󳎪	是通用彝文字符 unicode 0xf33aa 滇川黔桂彝文|󲮪󳅎󳖧󲠍󳌶󲪨󳊃󲧶󲴪󲧓󲨌󲰙󲟳
0xf33ab	󳎫	󲤙󳘀󳂻󲥕󳐗󳗏󳏞󳈇󳚪󳅕󳙬󳊲󳀎|󲪲󳉈󳚢󳊚󲳚󲨖󲯴󳄲󲻿󲱺󳍁󲦬
0xf33ac	󳎬	钟|󳌇󲴊󳓆󲜤󳁂󳛱󳅗󲨝󳖇󲴴󲮨󳛲󲹌󳐋
0xf33ad	󳎭	是通用彝文字符 unicode 0xf33ad 滇川黔桂彝文|󲜳󲱢 wise sky cold
0xf33ae	󳎮	彝文字符的中文含义是挂（使动），英文含义是挂 (使动)。|󳘭󳀹󳙤󳋷󳇤󳄃󳇆
0xf33af	󳎯	1. (虚荣, 好打扮) ; 2. (假装斯文) ;|󲷰󳊬󲿮󳏞󲬏󲬒󲮊󳖪󳙨
0xf33b0	󳎰	󲴔󲼑󳚝󲮒󳄶󳉕󲞄󲾏󳆫󳀀󲲕 the highest good i|的英文是烧烤，中文是烧烤。
0xf33b1	󳎱	󲽱󲴗󲩥󲝣󳛡󳅶󲨊󲺴󳆈󲭮󲫞|󳛷󳃵󳗬󲦻󳐍󲪬󳄫󲿵󲢌󳒍󳆇󳀈󳃜󲧤
0xf33b2	󳎲	󳛚󲴮󳕊󲴚󲷒󲭯󳏕󲸜󳂲󲴧󲯴󲷈|的英文是重字，中文是重字。
0xf33b3	󳎳	彝文字符的中文含义是招赘、入赘，英文含义是招赘, 入赘。|的意思是招赘、入赘（招赘, 入赘）。
0xf33b4	󳎴	󲩇󳀩󳄟󲮰󳏩󳉁󲻼󳓏󲡴󲹠󳉩󳎶|彝文字符的中文含义是（翻脸），英文含义是（turn over
0xf33b5	󳎵	彝文字符的中文含义是洒，英文含义是洒。|󲹇󳆹󲮓󲤭󲦱󲞶󳀅󳋶󲤳
0xf33b6	󳎶	󲩇󳀩󳎴󳄟󲮰󳏩󳉁󲻼󳓏󲡴󲹠󳉩|1. 悬(空) ; 2. (摆额博, 彝语point, in
0xf33b7	󳎷	彝文 unicode:0xf33b7 通用彝文字符集|󲩔󲣚󳏻󲭻󲸷󳅙󲶴󳉫󲭫󳇞󳙀󲲹󲪓󲱦
0xf33b8	󳎸	浆|彝文字符的中文含义是浆，英文含义是浆。
0xf33b9	󳎹	是通用彝文字符 unicode 0xf33b9 滇川黔桂彝文|󲲲󲡗 new cloud sky
0xf33ba	󳎺	（诽谤） in Yi script is  (（诽谤）).|彝文字符的中文含义是（诽谤），英文含义是（诽谤）。
0xf33bb	󳎻	是通用彝文字符 unicode 0xf33bb 滇川黔桂彝文|语, 言 (ancient saying) in Yi sc
0xf33bc	󳎼	彝文「」的意思是「绿」，英文是 绿。|的英文是绿，中文是绿。
0xf33bd	󳎽	是通用彝文字符 unicode 0xf33bd 滇川黔桂彝文|󲺟󳖹󳉻󲰸󳅅󲱜󳗧󲳳󲝪󳅈󳛻
0xf33be	󳎾	󲹪󲱾󳊱󳎘󳊒󲶈󲻃󲣐󲝈󲤇󲼨󳒌󲿞|的意思是纬（线）（纬 (thread, line)）。
0xf33bf	󳎿	搓 (绳子) in Yi script is  (搓（绳子）|的意思是搓（绳子）（搓 (绳子)）。
0xf33c0	󳏀	彝文「」的意思是「补」，英文是 补。|补 in Yi script is  (补).
0xf33c1	󳏁	是通用彝文字符 unicode 0xf33c1 滇川黔桂彝文|󲞷󲪂󲡜󲮝󲿕󲿊󳑌󳀳󲭯󲥅󲠎󳜉󲽳󲣒
0xf33c2	󳏂	的英文是(门) 槛，中文是（门）槛。|的意思是（门）槛（(门) 槛）。
0xf33c3	󳏃	󳛦󳕵󲳄󲧭 how do you say thank you |󲩭󲯻󳀓󲯧󲫜󳄆󳀫󲲽
0xf33c4	󳏄	󳔫󳛱󲼌󲻉󲷽󲥦󲻘󳕡|的意思是雾（雾）。
0xf33c5	󳏅	󲞸󲴷󲭫󳋮󲪻󲧨󲞑󲨐󲼖|󳉍󲾬󳁢󲿈
0xf33c6	󳏆	彝文 unicode:0xf33c6 通用彝文字符集|󲞉󲧆󳂤󳂷󲧈󳙧󳇻󲤈󲩺󲳝󲴨󳏗
0xf33c7	󳏇	彝文 unicode:0xf33c7 通用彝文字符集|瓜（类）用通用彝文写作「」。
0xf33c8	󳏈	字符的词汇编号是6055。|的英文是（形容词缀），中文是（形容词缀）。
0xf33c9	󳏉	是通用彝文字符 unicode 0xf33c9 滇川黔桂彝文|󲺅󲴅 wise sky rain
0xf33ca	󳏊	「闪亮」的通用彝文是「」。|的英文是闪亮，中文是闪亮。
0xf33cb	󳏋	󳄋󲢙󲳏󲭈󲺏󳄨󲡦󳉿󳃁󲼣󲸇󳙭|彝文字符的中文含义是伞，英文含义是伞。
0xf33cc	󳏌	The Yi script for '1、（刺）、（钉）；2|是通用彝文字符 unicode 0xf33cc 滇川黔桂彝文
0xf33cd	󳏍	󲫸󲯂󳚆󳂵󳚪󲸒󲣍󲡒󳑇|的意思是（娇气）（（娇气））。
0xf33ce	󳏎	是通用彝文字符 unicode 0xf33ce 滇川黔桂彝文|凝结 in Yi script is  (凝结).
0xf33cf	󳏏	（person, people熊）|的意思是（人熊）（（person, people熊））。
0xf33d0	󳏐	（导firethread, line）|󳙠󳖳󲢲󳍙󳊳󲯌󲠝󳒱󲮸󳓸󲧥󲨨󳇯󲭨
0xf33d1	󳏑	󳀠󳇏󳈲󳗂󲫍󳕃|1. (广阔) ; 2. (撮箕) ;
0xf33d2	󳏒	󲼠󳔙󲲼󳀩󲺰󳓈󲦺󳘣󲥐|󲥔󲩖󲶻󲜵󳌒󲹀󲩈󲟘󳏠󲾒󲿰
0xf33d3	󳏓	编号6066对应彝文字符。|󲾗󲻙󳗸󳃪󳆆󳑎󳊹󲞍󲿊󲦢󲶺󳚏󲪔
0xf33d4	󳏔	󲨪󳈞󳉒󲳸󳈹󲬄󳆽󳔄󲾦󳈬󳐘|是通用彝文字符 unicode 0xf33d4 滇川黔桂彝文
